0.923094, 0.020740, 0.384014
0.932350, 0.037236, 0.359634
0.944768, 0.049709, 0.323949
0.958832, 0.057135, 0.278167
0.972835, 0.059082, 0.223834
0.985089, 0.055744, 0.162765
0.994135, 0.047898, 0.096965
0.998915, 0.036788, 0.028541
0.998897, 0.023956, -0.040374
0.994122, 0.011049, -0.107701
0.985188, -0.000385, -0.171476
0.973171, -0.009074, -0.229905
0.959484, -0.014162, -0.281405
0.945716, -0.015290, -0.324633
0.933443, -0.012628, -0.358503
0.924055, -0.006830, -0.382198
0.918604, 0.001050, -0.395177
0.917694, 0.009690, -0.397170
0.921415, 0.017664, -0.388178
0.929343, 0.023606, -0.368463
0.940581, 0.026376, -0.338545
0.953860, 0.025196, -0.299192
0.967680, 0.019751, -0.251407
0.980466, 0.010238, -0.196420
0.990751, -0.002636, -0.135664
0.997336, -0.017717, -0.070762
0.999432, -0.033518, -0.003491
0.996761, -0.048377, 0.064249
0.989595, -0.060637, 0.130481
0.978740, -0.068840, 0.193207
0.965452, -0.071905, 0.250464
0.951295, -0.069265, 0.300401
0.937959, -0.060957, 0.341346
0.927057, -0.047632, 0.371882
0.919923, -0.030498, 0.390912
0.917438, -0.011190, 0.397721
0.919922, 0.008417, 0.392012
