2,3,4,5,6,7,8,9,10,20,33,40,50,60,66,70,80,90,99
0.051,0.071,0.087,0.101,0.113,0.124,0.134,0.143,0.152,0.22,0.288,0.32,0.369,0.428,0.471,0.506,0.619,0.785,1
